Row Labels,Sum of Cases,Sum of Deaths,CFR,WorldPop,WPPM,Cases/M,Deaths/M,Country ,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
Rwanda,0,0,,2639916,2.639916,0,,Rwanda,17.721,576.393,5.8,6.5,6.5387173,30,20.6,1396.21,
San Marino,0,0,,3757980,3.75798,0,,San Marino,97.732,552.992,,7.4,33.05039,,16.25,2.16,
Serbia,0,0,,83408554,83.408554,0,,Serbia,56.873,88.266,21.5,9.1,35.26065,46,13.81,717.35,75
Sierra Leone,0,0,,32833031,32.833031,0,,Sierra Leone,43.831,117.933,8.7,2.1,5.503796,41,26.54,2977.04,
Slovakia,0,0,,10445365,10.445365,0,,Slovakia,53.909,112.538,20.5,5.8,27.32183,43,10.04,1.97,62
Slovenia,0,0,,124610,0.12461,0,,Slovenia,55.751,105.194,20.2,5.8,33.431168,45,11.28,1346.3,52
South Sudan,0,0,,396051,0.396051,0,,South Sudan,20.846,20.355,8.6,6.5,5.0881314,34,29.23,1153.82,
Sweden,0,0,,13531906,13.531906,0,,Sweden,,25.903,20.6,5,32.96824,30,1.25,991.4,22
Switzerland,0,0,,2060721,2.060721,0,,Switzerland,74.092,221.808,15.6,4.6,29.963114,22,9.09,4.56,38
Tajikistan,0,0,,11447569,11.447569,0,,Tajikistan,27.968,72.605,14.2,6.6,6.099094,47,-0.62,587.5,158
Türkiye,0,0,,,,#DIV/0!,,Turkey,77.022,113.397,32.1,14.5,14.669032,33,12.2,459.34,70
Turkmenistan,0,0,,9709786,9.709786,0,,Turkmenistan,53.494,15.671,,6.7,6.6692004,39,16.52,115.93,71
Uganda,0,0,,370335,0.370335,0,,Uganda,26.159,243.518,5.3,4.6,3.9850087,33,24.69,3.3,152
Ukraine,0,0,,4986526,4.986526,0,,Ukraine,69.919,65.133,24.1,5.6,27.596714,43,10.7,594.72,91
United Kingdom of Great Britain and Northern Ireland,0,0,,8900059,8.900059,0,,UK,84.398,282.948,27.8,6.3,30.326279,26,8.98,1051.97,33
Uzbekistan,0,0,,59240329,59.240329,0,,Uzbekistan,50.466,83.809,16.6,7,8.977121,46,14.25,211.66,116
Zambia,0,0,,2827695,2.827695,0,,Zambia,45.761,27.878,,11.9,3.381735,32,22.01,2.48,
Zimbabwe,0,0,,19196465,19.196465,0,,Venezuela,88.378,30.881,25.6,9.6,14.46761,39,27.15,2089.96,41
Guinea,8,1,12.5,53005614,53.005614,0.150927409,6.62570175,Zimbabwe,32.395,42.241,15.5,2.1,6.5704026,42,21.77,440.78,74
Niger,204,12,5.882352941,128874,0.128874,1582.941478,0.007580824,,,,,,,,,,
Benin,37,2,5.405405405,6527743,6.527743,5.668115304,0.352850973,,,,,,,,,,
